Paths,Labels
Dataset\deaf\010340.jpg,deaf
Dataset\walk\016900.jpg,walk
Dataset\drink\011760.jpg,drink
Dataset\who\019196.jpg,who
Dataset\book\003871.jpg,book
Dataset\deaf\010175.jpg,deaf
Dataset\go\013547.jpg,go
Dataset\yes\021579.jpg,yes
Dataset\book\002908.jpg,book
Dataset\deaf\010293.jpg,deaf
Dataset\year\020335.jpg,year
Dataset\drink\011731.jpg,drink
Dataset\chair\005994.jpg,chair
Dataset\who\019614.jpg,who
Dataset\walk\017646.jpg,walk
Dataset\yes\021049.jpg,yes
Dataset\candy\004416.jpg,candy
Dataset\who\019385.jpg,who
Dataset\year\019951.jpg,year
Dataset\walk\018193.jpg,walk
Dataset\deaf\010010.jpg,deaf
Dataset\drink\011301.jpg,drink
Dataset\who\018479.jpg,who
Dataset\book\003950.jpg,book
Dataset\yes\022031.jpg,yes
Dataset\who\019495.jpg,who
Dataset\before\002073.jpg,before
Dataset\drink\012123.jpg,drink
Dataset\chair\005823.jpg,chair
Dataset\year\020874.jpg,year
Dataset\go\013336.jpg,go
Dataset\thin\016395.jpg,thin
Dataset\book\003514.jpg,book
Dataset\drink\011008.jpg,drink
Dataset\who\018360.jpg,who
Dataset\thin\016443.jpg,thin
Dataset\thin\015863.jpg,thin
Dataset\computer\007965.jpg,computer
Dataset\candy\005087.jpg,candy
Dataset\computer\007483.jpg,computer
Dataset\year\020757.jpg,year
Dataset\black\002682.jpg,black
Dataset\all\000767.jpg,all
Dataset\year\020138.jpg,year
Dataset\book\003783.jpg,book
Dataset\who\018777.jpg,who
Dataset\cousin\009337.jpg,cousin
Dataset\year\020880.jpg,year
Dataset\drink\010703.jpg,drink
Dataset\year\019669.jpg,year
Dataset\drink\010466.jpg,drink
Dataset\book\002861.jpg,book
Dataset\before\001222.jpg,before
Dataset\walk\017018.jpg,walk
Dataset\candy\004865.jpg,candy
Dataset\no\014655.jpg,no
Dataset\go\013281.jpg,go
Dataset\no\015481.jpg,no
Dataset\who\018438.jpg,who
Dataset\who\018703.jpg,who
Dataset\no\014884.jpg,no
Dataset\candy\004925.jpg,candy
Dataset\candy\004533.jpg,candy
Dataset\who\018767.jpg,who
Dataset\before\001673.jpg,before
Dataset\walk\016909.jpg,walk
Dataset\no\014946.jpg,no
Dataset\walk\017052.jpg,walk
Dataset\book\004056.jpg,book
Dataset\clothes\006953.jpg,clothes
Dataset\year\020744.jpg,year
Dataset\deaf\010001.jpg,deaf
Dataset\who\019065.jpg,who
Dataset\drink\010468.jpg,drink
Dataset\walk\017113.jpg,walk
Dataset\drink\011954.jpg,drink
Dataset\no\015135.jpg,no
Dataset\drink\012017.jpg,drink
Dataset\walk\017986.jpg,walk
Dataset\fine\012812.jpg,fine
Dataset\deaf\010238.jpg,deaf
Dataset\walk\017842.jpg,walk
Dataset\walk\018264.jpg,walk
Dataset\go\013306.jpg,go
Dataset\year\020662.jpg,year
Dataset\deaf\009488.jpg,deaf
Dataset\thin\016708.jpg,thin
Dataset\fine\012880.jpg,fine
Dataset\year\020232.jpg,year
Dataset\no\014663.jpg,no
Dataset\book\004318.jpg,book
Dataset\deaf\009981.jpg,deaf
Dataset\year\020123.jpg,year
Dataset\computer\007386.jpg,computer
Dataset\chair\005520.jpg,chair
Dataset\all\000859.jpg,all
Dataset\thin\015908.jpg,thin
Dataset\candy\004440.jpg,candy
Dataset\go\013514.jpg,go
Dataset\cousin\009034.jpg,cousin
Dataset\computer\007876.jpg,computer
Dataset\go\013209.jpg,go
Dataset\all\000596.jpg,all
Dataset\thin\016706.jpg,thin
Dataset\cousin\008805.jpg,cousin
Dataset\computer\007800.jpg,computer
Dataset\cousin\009187.jpg,cousin
Dataset\fine\012614.jpg,fine
Dataset\drink\010971.jpg,drink
Dataset\deaf\009747.jpg,deaf
Dataset\walk\017761.jpg,walk
Dataset\before\001952.jpg,before
Dataset\cousin\009121.jpg,cousin
Dataset\before\001097.jpg,before
Dataset\walk\016929.jpg,walk
Dataset\computer\007911.jpg,computer
Dataset\clothes\006945.jpg,clothes
Dataset\deaf\009966.jpg,deaf
Dataset\computer\007831.jpg,computer
Dataset\black\002514.jpg,black
Dataset\clothes\006733.jpg,clothes
Dataset\chair\005560.jpg,chair
Dataset\yes\021944.jpg,yes
Dataset\computer\007861.jpg,computer
Dataset\who\019115.jpg,who
Dataset\drink\011028.jpg,drink
Dataset\candy\004701.jpg,candy
Dataset\walk\017504.jpg,walk
Dataset\black\002234.jpg,black
Dataset\drink\011243.jpg,drink
Dataset\deaf\010297.jpg,deaf
Dataset\year\020780.jpg,year
Dataset\computer\007957.jpg,computer
Dataset\before\001177.jpg,before
Dataset\thin\015774.jpg,thin
Dataset\thin\016562.jpg,thin
Dataset\drink\011927.jpg,drink
Dataset\walk\017971.jpg,walk
Dataset\thin\016606.jpg,thin
Dataset\cousin\009216.jpg,cousin
Dataset\drink\011491.jpg,drink
Dataset\no\014583.jpg,no
Dataset\computer\007479.jpg,computer
Dataset\book\004156.jpg,book
Dataset\fine\012741.jpg,fine
Dataset\year\020952.jpg,year
Dataset\year\020368.jpg,year
Dataset\year\020085.jpg,year
Dataset\book\004242.jpg,book
Dataset\candy\005425.jpg,candy
Dataset\go\013266.jpg,go
Dataset\computer\007448.jpg,computer
Dataset\book\003402.jpg,book
Dataset\fine\012457.jpg,fine
Dataset\walk\017190.jpg,walk
Dataset\computer\007493.jpg,computer
Dataset\drink\012273.jpg,drink
Dataset\cousin\008996.jpg,cousin
Dataset\before\001551.jpg,before
Dataset\before\001010.jpg,before
Dataset\year\020442.jpg,year
Dataset\drink\010940.jpg,drink
Dataset\who\018448.jpg,who
Dataset\drink\010930.jpg,drink
Dataset\yes\021352.jpg,yes
Dataset\help\014311.jpg,help
Dataset\candy\005096.jpg,candy
Dataset\all\000649.jpg,all
Dataset\book\003244.jpg,book
Dataset\drink\011055.jpg,drink
Dataset\candy\004976.jpg,candy
Dataset\all\000728.jpg,all
Dataset\cousin\009134.jpg,cousin
Dataset\year\020383.jpg,year
Dataset\cousin\008743.jpg,cousin
Dataset\computer\008170.jpg,computer
Dataset\walk\017227.jpg,walk
Dataset\clothes\006861.jpg,clothes
Dataset\all\000332.jpg,all
Dataset\clothes\007028.jpg,clothes
Dataset\go\013810.jpg,go
Dataset\thin\015949.jpg,thin
Dataset\cousin\008700.jpg,cousin
Dataset\all\000212.jpg,all
Dataset\yes\021156.jpg,yes
Dataset\black\002264.jpg,black
Dataset\chair\006344.jpg,chair
Dataset\before\001782.jpg,before
Dataset\drink\011368.jpg,drink
Dataset\book\003544.jpg,book
Dataset\no\015655.jpg,no
Dataset\before\001439.jpg,before
Dataset\drink\010708.jpg,drink
Dataset\book\002869.jpg,book
Dataset\black\002435.jpg,black
Dataset\who\018392.jpg,who
Dataset\clothes\006831.jpg,clothes
Dataset\candy\004793.jpg,candy
Dataset\cousin\009421.jpg,cousin
Dataset\year\019756.jpg,year
Dataset\walk\017423.jpg,walk
Dataset\drink\011870.jpg,drink
Dataset\chair\006476.jpg,chair
Dataset\deaf\009507.jpg,deaf
Dataset\walk\017885.jpg,walk
Dataset\no\014615.jpg,no
Dataset\before\000921.jpg,before
Dataset\thin\016225.jpg,thin
Dataset\drink\012172.jpg,drink
Dataset\all\000013.jpg,all
Dataset\no\014609.jpg,no
Dataset\all\000819.jpg,all
Dataset\drink\010977.jpg,drink
Dataset\yes\021765.jpg,yes
Dataset\computer\008185.jpg,computer
Dataset\deaf\009897.jpg,deaf
Dataset\all\000454.jpg,all
Dataset\cousin\009242.jpg,cousin
Dataset\yes\021772.jpg,yes
Dataset\deaf\009849.jpg,deaf
Dataset\book\003458.jpg,book
Dataset\who\019443.jpg,who
Dataset\year\020248.jpg,year
Dataset\all\000660.jpg,all
Dataset\year\020642.jpg,year
Dataset\thin\015804.jpg,thin
Dataset\walk\017136.jpg,walk
Dataset\drink\011101.jpg,drink
Dataset\who\019049.jpg,who
Dataset\before\000941.jpg,before
Dataset\black\002740.jpg,black
Dataset\deaf\009605.jpg,deaf
Dataset\drink\011797.jpg,drink
Dataset\thin\015820.jpg,thin
Dataset\walk\017737.jpg,walk
Dataset\no\014876.jpg,no
Dataset\walk\017715.jpg,walk
Dataset\fine\012827.jpg,fine
Dataset\yes\021609.jpg,yes
Dataset\book\004072.jpg,book
Dataset\go\013442.jpg,go
Dataset\before\001401.jpg,before
Dataset\who\019206.jpg,who
Dataset\computer\007691.jpg,computer
Dataset\computer\008223.jpg,computer
Dataset\computer\008124.jpg,computer
Dataset\chair\006364.jpg,chair
Dataset\chair\005797.jpg,chair
Dataset\book\003678.jpg,book
Dataset\clothes\006567.jpg,clothes
Dataset\cousin\008865.jpg,cousin
Dataset\year\020594.jpg,year
Dataset\drink\010968.jpg,drink
Dataset\yes\021951.jpg,yes
Dataset\yes\021656.jpg,yes
Dataset\go\013659.jpg,go
Dataset\thin\016661.jpg,thin
Dataset\candy\005189.jpg,candy
Dataset\book\004363.jpg,book
Dataset\before\001109.jpg,before
Dataset\who\019378.jpg,who
Dataset\deaf\010309.jpg,deaf
Dataset\book\003230.jpg,book
Dataset\walk\017214.jpg,walk
Dataset\walk\017602.jpg,walk
Dataset\thin\016335.jpg,thin
Dataset\drink\011512.jpg,drink
Dataset\walk\018141.jpg,walk
Dataset\chair\005836.jpg,chair
Dataset\book\004327.jpg,book
Dataset\all\000076.jpg,all
Dataset\go\013187.jpg,go
Dataset\before\001780.jpg,before
Dataset\black\002554.jpg,black
Dataset\fine\012968.jpg,fine
Dataset\yes\022007.jpg,yes
Dataset\black\002687.jpg,black
Dataset\before\001041.jpg,before
Dataset\year\020712.jpg,year
Dataset\before\001564.jpg,before
Dataset\who\018798.jpg,who
Dataset\all\000556.jpg,all
Dataset\book\003072.jpg,book
Dataset\who\018442.jpg,who
Dataset\year\020534.jpg,year
Dataset\candy\004475.jpg,candy
Dataset\computer\007530.jpg,computer
Dataset\no\015555.jpg,no
Dataset\year\019738.jpg,year
Dataset\fine\013121.jpg,fine
Dataset\fine\013049.jpg,fine
Dataset\go\013461.jpg,go
Dataset\computer\007767.jpg,computer
Dataset\drink\011046.jpg,drink
Dataset\before\001417.jpg,before
Dataset\walk\017017.jpg,walk
Dataset\walk\016888.jpg,walk
Dataset\yes\021738.jpg,yes
Dataset\walk\018007.jpg,walk
Dataset\thin\016306.jpg,thin
Dataset\candy\004602.jpg,candy
Dataset\cousin\009411.jpg,cousin
Dataset\deaf\009757.jpg,deaf
Dataset\computer\007962.jpg,computer
Dataset\computer\007400.jpg,computer
Dataset\yes\021269.jpg,yes
Dataset\deaf\010406.jpg,deaf
Dataset\yes\021728.jpg,yes
Dataset\before\001239.jpg,before
Dataset\book\003736.jpg,book
Dataset\cousin\008962.jpg,cousin
Dataset\no\014793.jpg,no
Dataset\deaf\010304.jpg,deaf
Dataset\year\020456.jpg,year
Dataset\yes\021267.jpg,yes
Dataset\year\020135.jpg,year
Dataset\deaf\010058.jpg,deaf
Dataset\thin\015992.jpg,thin
Dataset\walk\018003.jpg,walk
Dataset\no\015313.jpg,no
Dataset\walk\017995.jpg,walk
Dataset\cousin\009020.jpg,cousin
Dataset\drink\010895.jpg,drink
Dataset\year\019706.jpg,year
Dataset\go\013219.jpg,go
Dataset\all\000029.jpg,all
Dataset\go\013486.jpg,go
Dataset\year\019837.jpg,year
Dataset\deaf\009719.jpg,deaf
Dataset\fine\012427.jpg,fine
Dataset\all\000356.jpg,all
Dataset\deaf\009622.jpg,deaf
Dataset\book\003171.jpg,book
Dataset\year\019852.jpg,year
Dataset\who\018826.jpg,who
Dataset\year\020036.jpg,year
Dataset\no\014792.jpg,no
Dataset\cousin\008525.jpg,cousin
Dataset\chair\005644.jpg,chair
Dataset\clothes\006866.jpg,clothes
Dataset\walk\017166.jpg,walk
Dataset\thin\016299.jpg,thin
Dataset\book\003676.jpg,book
Dataset\book\004225.jpg,book
Dataset\before\000965.jpg,before
Dataset\go\013764.jpg,go
Dataset\clothes\006750.jpg,clothes
Dataset\all\000121.jpg,all
Dataset\clothes\006795.jpg,clothes
Dataset\walk\017453.jpg,walk
Dataset\book\004229.jpg,book
Dataset\chair\005580.jpg,chair
Dataset\go\013684.jpg,go
Dataset\all\000329.jpg,all
Dataset\candy\004711.jpg,candy
Dataset\book\003282.jpg,book
Dataset\black\002371.jpg,black
Dataset\chair\005523.jpg,chair
Dataset\black\002545.jpg,black
Dataset\cousin\008896.jpg,cousin
Dataset\year\020945.jpg,year
Dataset\drink\011078.jpg,drink
Dataset\walk\018316.jpg,walk
Dataset\drink\010872.jpg,drink
Dataset\black\002179.jpg,black
Dataset\year\020555.jpg,year
Dataset\candy\004899.jpg,candy
Dataset\candy\005154.jpg,candy
Dataset\before\001210.jpg,before
Dataset\who\019428.jpg,who
Dataset\thin\015809.jpg,thin
Dataset\fine\013069.jpg,fine
Dataset\who\019155.jpg,who
Dataset\thin\015768.jpg,thin
Dataset\book\003124.jpg,book
Dataset\all\000079.jpg,all
Dataset\deaf\009737.jpg,deaf
Dataset\year\020886.jpg,year
Dataset\book\003767.jpg,book
Dataset\year\020823.jpg,year
Dataset\no\015018.jpg,no
Dataset\yes\021313.jpg,yes
Dataset\fine\013013.jpg,fine
Dataset\drink\010893.jpg,drink
Dataset\all\000601.jpg,all
Dataset\cousin\009138.jpg,cousin
Dataset\go\013416.jpg,go
Dataset\candy\004551.jpg,candy
Dataset\before\000944.jpg,before
Dataset\year\019998.jpg,year
Dataset\thin\016084.jpg,thin
Dataset\year\020891.jpg,year
Dataset\walk\017244.jpg,walk
Dataset\cousin\009315.jpg,cousin
Dataset\walk\018004.jpg,walk
Dataset\walk\017578.jpg,walk
Dataset\before\001562.jpg,before
Dataset\candy\004870.jpg,candy
Dataset\help\014486.jpg,help
Dataset\deaf\010190.jpg,deaf
Dataset\chair\006214.jpg,chair
Dataset\who\019524.jpg,who
Dataset\help\014237.jpg,help
Dataset\candy\004542.jpg,candy
Dataset\before\001783.jpg,before
Dataset\help\014097.jpg,help
Dataset\no\014967.jpg,no
Dataset\go\013276.jpg,go
Dataset\before\001096.jpg,before
Dataset\chair\005545.jpg,chair
Dataset\before\001947.jpg,before
Dataset\thin\015816.jpg,thin
Dataset\yes\021287.jpg,yes
Dataset\year\020433.jpg,year
Dataset\all\000678.jpg,all
Dataset\who\018680.jpg,who
Dataset\drink\010798.jpg,drink
Dataset\clothes\006790.jpg,clothes
Dataset\before\001393.jpg,before
Dataset\no\015109.jpg,no
Dataset\drink\010662.jpg,drink
Dataset\all\000753.jpg,all
Dataset\year\020635.jpg,year
Dataset\book\003738.jpg,book
Dataset\book\002977.jpg,book
Dataset\clothes\006695.jpg,clothes
Dataset\drink\011981.jpg,drink
Dataset\book\003216.jpg,book
Dataset\cousin\008990.jpg,cousin
Dataset\fine\012405.jpg,fine
Dataset\deaf\009970.jpg,deaf
Dataset\drink\012306.jpg,drink
Dataset\before\001771.jpg,before
Dataset\yes\021127.jpg,yes
Dataset\walk\018289.jpg,walk
Dataset\drink\010913.jpg,drink
Dataset\drink\011676.jpg,drink
Dataset\book\003023.jpg,book
Dataset\fine\012421.jpg,fine
Dataset\candy\005402.jpg,candy
Dataset\computer\007857.jpg,computer
Dataset\drink\011205.jpg,drink
Dataset\deaf\010101.jpg,deaf
Dataset\clothes\006876.jpg,clothes
Dataset\walk\017289.jpg,walk
Dataset\help\013957.jpg,help
Dataset\candy\005192.jpg,candy
Dataset\candy\004620.jpg,candy
Dataset\who\018980.jpg,who
Dataset\thin\016055.jpg,thin
Dataset\no\014978.jpg,no
Dataset\year\019839.jpg,year
Dataset\cousin\008720.jpg,cousin
Dataset\cousin\008559.jpg,cousin
Dataset\year\020872.jpg,year
Dataset\help\014291.jpg,help
Dataset\fine\012517.jpg,fine
Dataset\computer\008147.jpg,computer
Dataset\computer\007969.jpg,computer
Dataset\book\004265.jpg,book
Dataset\thin\016577.jpg,thin
Dataset\fine\012455.jpg,fine
Dataset\drink\010653.jpg,drink
Dataset\clothes\006826.jpg,clothes
Dataset\computer\008114.jpg,computer
Dataset\deaf\010112.jpg,deaf
Dataset\all\000702.jpg,all
Dataset\chair\006171.jpg,chair
Dataset\no\014886.jpg,no
Dataset\computer\008160.jpg,computer
Dataset\who\018594.jpg,who
Dataset\walk\017254.jpg,walk
Dataset\clothes\006871.jpg,clothes
Dataset\no\014791.jpg,no
Dataset\candy\004424.jpg,candy
Dataset\drink\012160.jpg,drink
Dataset\clothes\006863.jpg,clothes
Dataset\clothes\006987.jpg,clothes
Dataset\candy\004869.jpg,candy
Dataset\deaf\009491.jpg,deaf
Dataset\book\004377.jpg,book
Dataset\computer\007283.jpg,computer
Dataset\deaf\009545.jpg,deaf
Dataset\book\002927.jpg,book
Dataset\thin\016067.jpg,thin
Dataset\deaf\009826.jpg,deaf
Dataset\deaf\009480.jpg,deaf
Dataset\cousin\008734.jpg,cousin
Dataset\who\019246.jpg,who
Dataset\year\020040.jpg,year
Dataset\book\004351.jpg,book
Dataset\thin\016856.jpg,thin
Dataset\book\003698.jpg,book
Dataset\before\002014.jpg,before
Dataset\who\018673.jpg,who
Dataset\walk\017636.jpg,walk
Dataset\fine\012566.jpg,fine
Dataset\walk\017212.jpg,walk
Dataset\chair\005678.jpg,chair
Dataset\no\014965.jpg,no
Dataset\thin\016677.jpg,thin
Dataset\black\002148.jpg,black
Dataset\cousin\008789.jpg,cousin
Dataset\black\002706.jpg,black
Dataset\clothes\007130.jpg,clothes
Dataset\go\013666.jpg,go
Dataset\deaf\010087.jpg,deaf
Dataset\yes\021396.jpg,yes
Dataset\who\018918.jpg,who
Dataset\deaf\009700.jpg,deaf
Dataset\walk\017803.jpg,walk
Dataset\drink\010956.jpg,drink
Dataset\no\015414.jpg,no
Dataset\clothes\006842.jpg,clothes
Dataset\drink\010428.jpg,drink
Dataset\all\000811.jpg,all
Dataset\candy\005318.jpg,candy
Dataset\help\013877.jpg,help
Dataset\yes\021340.jpg,yes
Dataset\all\000313.jpg,all
Dataset\before\002074.jpg,before
Dataset\deaf\009731.jpg,deaf
Dataset\who\019226.jpg,who
Dataset\who\018969.jpg,who
Dataset\computer\007735.jpg,computer
Dataset\before\000886.jpg,before
Dataset\deaf\009670.jpg,deaf
Dataset\before\001791.jpg,before
Dataset\yes\021172.jpg,yes
Dataset\no\014622.jpg,no
Dataset\computer\007330.jpg,computer
Dataset\deaf\010201.jpg,deaf
Dataset\book\003455.jpg,book
Dataset\cousin\008875.jpg,cousin
Dataset\book\003896.jpg,book
Dataset\year\019899.jpg,year
Dataset\yes\021465.jpg,yes
Dataset\no\014775.jpg,no
Dataset\computer\008250.jpg,computer
Dataset\no\014714.jpg,no
Dataset\yes\021033.jpg,yes
Dataset\computer\008013.jpg,computer
Dataset\no\014892.jpg,no
Dataset\drink\010592.jpg,drink
Dataset\fine\012418.jpg,fine
Dataset\drink\012335.jpg,drink
Dataset\drink\012319.jpg,drink
Dataset\walk\017079.jpg,walk
Dataset\year\020809.jpg,year
Dataset\walk\017447.jpg,walk
Dataset\computer\007926.jpg,computer
Dataset\before\001469.jpg,before
Dataset\help\013954.jpg,help
Dataset\deaf\009609.jpg,deaf
Dataset\all\000471.jpg,all
Dataset\drink\010551.jpg,drink
Dataset\black\002723.jpg,black
Dataset\candy\005420.jpg,candy
Dataset\thin\015952.jpg,thin
Dataset\yes\021130.jpg,yes
Dataset\year\020402.jpg,year
Dataset\yes\021779.jpg,yes
Dataset\fine\012718.jpg,fine
Dataset\fine\012803.jpg,fine
Dataset\fine\012350.jpg,fine
Dataset\fine\012674.jpg,fine
Dataset\chair\006042.jpg,chair
Dataset\year\020897.jpg,year
Dataset\drink\012062.jpg,drink
Dataset\no\014589.jpg,no
Dataset\black\002745.jpg,black
Dataset\candy\004570.jpg,candy
Dataset\no\014760.jpg,no
Dataset\yes\021991.jpg,yes
Dataset\black\002162.jpg,black
Dataset\year\019673.jpg,year
Dataset\candy\004675.jpg,candy
Dataset\computer\007457.jpg,computer
Dataset\cousin\009248.jpg,cousin
Dataset\year\019727.jpg,year
Dataset\who\019054.jpg,who
Dataset\who\019089.jpg,who
Dataset\thin\015760.jpg,thin
Dataset\no\015293.jpg,no
Dataset\deaf\010117.jpg,deaf
Dataset\chair\006380.jpg,chair
Dataset\clothes\007266.jpg,clothes
Dataset\fine\013100.jpg,fine
Dataset\yes\021397.jpg,yes
Dataset\book\003877.jpg,book
Dataset\before\001076.jpg,before
Dataset\cousin\009308.jpg,cousin
Dataset\book\003937.jpg,book
Dataset\drink\011726.jpg,drink
Dataset\year\020432.jpg,year
Dataset\who\018719.jpg,who
Dataset\clothes\007142.jpg,clothes
Dataset\drink\011225.jpg,drink
Dataset\book\004208.jpg,book
Dataset\clothes\006714.jpg,clothes
Dataset\deaf\009748.jpg,deaf
Dataset\no\014591.jpg,no
Dataset\help\014034.jpg,help
Dataset\no\014738.jpg,no
Dataset\deaf\009645.jpg,deaf
Dataset\black\002150.jpg,black
Dataset\cousin\008512.jpg,cousin
Dataset\who\019494.jpg,who
Dataset\thin\016478.jpg,thin
Dataset\deaf\010115.jpg,deaf
Dataset\deaf\009486.jpg,deaf
Dataset\all\000075.jpg,all
Dataset\walk\017784.jpg,walk
Dataset\yes\021948.jpg,yes
Dataset\computer\007340.jpg,computer
Dataset\year\020306.jpg,year
Dataset\walk\016927.jpg,walk
Dataset\fine\013042.jpg,fine
Dataset\deaf\010322.jpg,deaf
Dataset\no\014596.jpg,no
Dataset\who\019370.jpg,who
Dataset\no\014671.jpg,no
Dataset\help\014493.jpg,help
Dataset\all\000682.jpg,all
Dataset\who\018911.jpg,who
Dataset\walk\017022.jpg,walk
Dataset\year\020649.jpg,year
Dataset\black\002510.jpg,black
Dataset\computer\007282.jpg,computer
Dataset\cousin\009245.jpg,cousin
Dataset\help\014345.jpg,help
Dataset\thin\016772.jpg,thin
Dataset\who\018381.jpg,who
Dataset\book\004068.jpg,book
Dataset\yes\021446.jpg,yes
Dataset\deaf\009649.jpg,deaf
Dataset\walk\018190.jpg,walk
Dataset\year\019748.jpg,year
Dataset\fine\013101.jpg,fine
Dataset\yes\021813.jpg,yes
Dataset\help\014161.jpg,help
Dataset\drink\011435.jpg,drink
Dataset\book\003146.jpg,book
Dataset\who\019518.jpg,who
Dataset\thin\016736.jpg,thin
Dataset\cousin\008698.jpg,cousin
Dataset\drink\011601.jpg,drink
Dataset\no\014980.jpg,no
Dataset\yes\021825.jpg,yes
Dataset\candy\005132.jpg,candy
Dataset\computer\007927.jpg,computer
Dataset\who\019595.jpg,who
Dataset\year\019829.jpg,year
Dataset\all\000541.jpg,all
Dataset\book\004236.jpg,book
Dataset\chair\005508.jpg,chair
Dataset\who\018922.jpg,who
Dataset\drink\011858.jpg,drink
Dataset\computer\007397.jpg,computer
Dataset\thin\016673.jpg,thin
Dataset\walk\017143.jpg,walk
Dataset\drink\011561.jpg,drink
Dataset\all\000755.jpg,all
Dataset\thin\016292.jpg,thin
Dataset\who\018617.jpg,who
Dataset\black\002543.jpg,black
Dataset\chair\006074.jpg,chair
Dataset\thin\016738.jpg,thin
Dataset\no\015627.jpg,no
Dataset\candy\005219.jpg,candy
Dataset\no\015602.jpg,no
Dataset\walk\017926.jpg,walk
Dataset\all\000238.jpg,all
Dataset\book\004272.jpg,book
Dataset\chair\005876.jpg,chair
Dataset\clothes\006658.jpg,clothes
Dataset\all\000101.jpg,all
Dataset\thin\016327.jpg,thin
Dataset\who\018819.jpg,who
Dataset\yes\021590.jpg,yes
Dataset\walk\017912.jpg,walk
Dataset\candy\005363.jpg,candy
Dataset\candy\004767.jpg,candy
Dataset\go\013500.jpg,go
Dataset\computer\007504.jpg,computer
Dataset\fine\013073.jpg,fine
Dataset\before\001621.jpg,before
Dataset\cousin\008794.jpg,cousin
Dataset\walk\017694.jpg,walk
Dataset\before\001309.jpg,before
Dataset\help\014375.jpg,help
Dataset\before\001583.jpg,before
Dataset\who\018550.jpg,who
Dataset\year\020041.jpg,year
Dataset\black\002432.jpg,black
Dataset\yes\021566.jpg,yes
Dataset\before\001045.jpg,before
Dataset\year\020457.jpg,year
Dataset\deaf\009750.jpg,deaf
Dataset\candy\005010.jpg,candy
Dataset\year\020212.jpg,year
Dataset\before\001488.jpg,before
Dataset\no\014770.jpg,no
Dataset\computer\007634.jpg,computer
Dataset\yes\021780.jpg,yes
Dataset\drink\010932.jpg,drink
Dataset\walk\018126.jpg,walk
Dataset\deaf\010308.jpg,deaf
Dataset\chair\005796.jpg,chair
Dataset\walk\017234.jpg,walk
Dataset\no\015181.jpg,no
Dataset\no\014693.jpg,no
Dataset\candy\005492.jpg,candy
Dataset\who\018599.jpg,who
Dataset\all\000619.jpg,all
Dataset\book\003800.jpg,book
Dataset\drink\011798.jpg,drink
Dataset\thin\015835.jpg,thin
Dataset\help\013952.jpg,help
Dataset\drink\011589.jpg,drink
Dataset\before\001601.jpg,before
Dataset\who\018378.jpg,who
Dataset\before\001850.jpg,before
Dataset\deaf\009808.jpg,deaf
Dataset\before\001753.jpg,before
Dataset\candy\004535.jpg,candy
Dataset\before\002041.jpg,before
Dataset\before\002084.jpg,before
Dataset\computer\007966.jpg,computer
Dataset\candy\005232.jpg,candy
Dataset\all\000547.jpg,all
Dataset\chair\006200.jpg,chair
Dataset\who\019141.jpg,who
Dataset\yes\022043.jpg,yes
Dataset\before\001357.jpg,before
Dataset\candy\005148.jpg,candy
Dataset\who\019139.jpg,who
Dataset\cousin\008868.jpg,cousin
Dataset\drink\010738.jpg,drink
Dataset\fine\012564.jpg,fine
Dataset\year\020204.jpg,year
Dataset\drink\012192.jpg,drink
Dataset\drink\010695.jpg,drink
Dataset\chair\006015.jpg,chair
Dataset\walk\017939.jpg,walk
Dataset\clothes\007170.jpg,clothes
Dataset\all\000176.jpg,all
Dataset\yes\021598.jpg,yes
Dataset\black\002209.jpg,black
Dataset\year\020549.jpg,year
Dataset\year\019625.jpg,year
Dataset\walk\017103.jpg,walk
Dataset\book\003788.jpg,book
Dataset\fine\012547.jpg,fine
Dataset\year\020813.jpg,year
Dataset\no\014651.jpg,no
Dataset\drink\010418.jpg,drink
Dataset\walk\017649.jpg,walk
Dataset\walk\017026.jpg,walk
Dataset\cousin\009319.jpg,cousin
Dataset\deaf\009698.jpg,deaf
Dataset\yes\021589.jpg,yes
Dataset\who\018935.jpg,who
Dataset\black\002442.jpg,black
Dataset\no\014733.jpg,no
Dataset\yes\021332.jpg,yes
Dataset\before\001323.jpg,before
Dataset\before\001604.jpg,before
Dataset\fine\012403.jpg,fine
Dataset\deaf\009946.jpg,deaf
Dataset\computer\008015.jpg,computer
Dataset\drink\010945.jpg,drink
Dataset\help\014091.jpg,help
Dataset\book\004066.jpg,book
Dataset\before\001295.jpg,before
Dataset\go\013200.jpg,go
Dataset\help\014262.jpg,help
Dataset\no\014579.jpg,no
Dataset\before\002001.jpg,before
Dataset\year\019855.jpg,year
Dataset\before\002064.jpg,before
Dataset\drink\012264.jpg,drink
Dataset\before\001508.jpg,before
Dataset\clothes\006684.jpg,clothes
Dataset\before\001560.jpg,before
Dataset\walk\017091.jpg,walk
Dataset\chair\005578.jpg,chair
Dataset\walk\017865.jpg,walk
Dataset\no\015345.jpg,no
Dataset\drink\010689.jpg,drink
Dataset\walk\018075.jpg,walk
Dataset\no\015172.jpg,no
Dataset\year\019653.jpg,year
Dataset\chair\005612.jpg,chair
Dataset\who\018406.jpg,who
Dataset\thin\016530.jpg,thin
Dataset\candy\005336.jpg,candy
Dataset\deaf\009547.jpg,deaf
Dataset\yes\021704.jpg,yes
Dataset\book\004142.jpg,book
Dataset\computer\007939.jpg,computer
Dataset\no\014831.jpg,no
Dataset\walk\017637.jpg,walk
Dataset\book\003550.jpg,book
